Virtual Address: 16778; Physical Address: 65674; Value: 16
Virtual Address: 27159; Physical Address: 65559; Value: 4294967173
Virtual Address: 24324; Physical Address: 65540; Value: 0
Virtual Address: 32450; Physical Address: 65730; Value: 31
Virtual Address: 9108; Physical Address: 65684; Value: 0
Virtual Address: 65305; Physical Address: 65561; Value: 0
Virtual Address: 19575; Physical Address: 65655; Value: 29
Virtual Address: 11117; Physical Address: 65645; Value: 0
Virtual Address: 65170; Physical Address: 65682; Value: 63
Virtual Address: 58013; Physical Address: 65693; Value: 0
Virtual Address: 61676; Physical Address: 65772; Value: 0
Virtual Address: 63510; Physical Address: 65558; Value: 62
Virtual Address: 17458; Physical Address: 65586; Value: 17
Virtual Address: 54675; Physical Address: 65683; Value: 100
Virtual Address: 1713; Physical Address: 65713; Value: 0
Virtual Address: 55105; Physical Address: 65601; Value: 0
Virtual Address: 65321; Physical Address: 65577; Value: 0
Virtual Address: 45278; Physical Address: 65758; Value: 44
Virtual Address: 26256; Physical Address: 65680; Value: 0
Virtual Address: 64198; Physical Address: 65734; Value: 62
Virtual Address: 29441; Physical Address: 65537; Value: 0
Virtual Address: 1928; Physical Address: 65672; Value: 0
Virtual Address: 39425; Physical Address: 65537; Value: 0
Virtual Address: 32000; Physical Address: 65536; Value: 0
Virtual Address: 28549; Physical Address: 65669; Value: 0
Virtual Address: 46295; Physical Address: 65751; Value: 53
Virtual Address: 22772; Physical Address: 65780; Value: 0
Virtual Address: 58228; Physical Address: 65652; Value: 0
Virtual Address: 63525; Physical Address: 65573; Value: 0
Virtual Address: 32602; Physical Address: 65626; Value: 31
Virtual Address: 46195; Physical Address: 65651; Value: 4294967260
Virtual Address: 55849; Physical Address: 65577; Value: 0
Virtual Address: 46454; Physical Address: 65654; Value: 45
Virtual Address: 7487; Physical Address: 65599; Value: 79
Virtual Address: 33879; Physical Address: 65623; Value: 21
Virtual Address: 42004; Physical Address: 65556; Value: 0
Virtual Address: 8599; Physical Address: 65687; Value: 101
Virtual Address: 18641; Physical Address: 65745; Value: 0
Virtual Address: 49015; Physical Address: 65655; Value: 4294967261
Virtual Address: 26830; Physical Address: 65742; Value: 26
Virtual Address: 34754; Physical Address: 65730; Value: 33
Virtual Address: 14668; Physical Address: 65612; Value: 0
Virtual Address: 38362; Physical Address: 65754; Value: 37
Virtual Address: 38791; Physical Address: 65671; Value: 4294967265
Virtual Address: 4171; Physical Address: 65611; Value: 18
Virtual Address: 45975; Physical Address: 65687; Value: 4294967269
Virtual Address: 14623; Physical Address: 65567; Value: 4294967239
Virtual Address: 62393; Physical Address: 65721; Value: 0
Virtual Address: 64658; Physical Address: 65682; Value: 63
Virtual Address: 10963; Physical Address: 65747; Value: 4294967220
